playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,GS,InnOuts,PO,A,E,DP,PB,WP,awardID,lgID,tie,notes,Award_Category
acunaro01,2018,111,,433,78,127,26,4,26,64,16,5,45,123,2,6,0,3,4,,107,2808,184,3,5,0,,,TSN All-Star,NL,,OF,All-Star
acunaro01,2018,111,,433,78,127,26,4,26,64,16,5,45,123,2,6,0,3,4,,107,2808,184,3,5,0,,,TSN Rookie of the Year,NL,,,Not All-Star
acunaro01,2019,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,,154,4092,325,10,3,1,,,All-MLB Team - Second Team,ML,,OF,Not All-Star
acunaro01,2019,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,,154,4092,325,10,3,1,,,All-MLB Team - Second Team,ML,,OF,Not All-Star
acunaro01,2019,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,,154,4092,325,10,3,1,,,Player of the Week,NL,,Week of 2019-04-13,Not All-Star
acunaro01,2019,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,,154,4092,325,10,3,1,,,Silver Slugger,NL,,OF,Not All-Star
acunaro01,2019,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,,154,4092,325,10,3,1,,,TSN All-Star,NL,,OF,All-Star
acunaro01,2020,46,,160,46,40,11,0,14,29,8,1,38,60,2,4,0,0,3,,46,1130,102,0,0,0,,,All-MLB Team - Second Team,ML,,OF,Not All-Star
acunaro01,2020,46,,160,46,40,11,0,14,29,8,1,38,60,2,4,0,0,3,,46,1130,102,0,0,0,,,All-MLB Team - Second Team,ML,,OF,Not All-Star
acunaro01,2020,46,,160,46,40,11,0,14,29,8,1,38,60,2,4,0,0,3,,46,1130,102,0,0,0,,,Silver Slugger,NL,,OF,Not All-Star
acunaro01,2020,46,,160,46,40,11,0,14,29,8,1,38,60,2,4,0,0,3,,46,1130,102,0,0,0,,,TSN All-Star,NL,,OF,All-Star
acunaro01,2021,82,,297,72,84,19,1,24,52,17,6,49,85,2,9,0,5,0,,80,2026,134,4,2,0,,,Player of the Month,NL,,April,Not All-Star
acunaro01,2021,82,,297,72,84,19,1,24,52,17,6,49,85,2,9,0,5,0,,80,2026,134,4,2,0,,,Player of the Week,NL,,Week of 2021-04-17,Not All-Star
acunaro01,2022,119,,467,71,124,24,0,15,50,29,11,53,126,4,10,0,3,8,,88,2379,150,4,4,0,,,MLB Players Choice Comeback Player,NL,,,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,All-MLB Team - First Team,ML,,OF,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,All-MLB Team - First Team,ML,,OF,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Hank Aaron Award,NL,,,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,MLB Players Choice Outstanding Player,NL,,,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,MLB Players Choice Player of the Year,ML,,,Not All-Star
